"ctuid","Popu_2021","PopuDenPerKM","Immigrant%","VM%","1-ParentFam%","MBM%","LIM%","Neet%","%CHN","%Affordable","%ofWP","ShortTerm%"
5350001.00,599,87.8,1.695,31.356,14.286,9.322,13.115,23.077,27.273,27.273,7.5,4.545
5350002.00,604,178,0,1.667,17.143,13.333,15.686,20,50,50,15.789,17.857
5350003.00,457,483.3,14.423,52.381,8.333,6.731,11.364,0,0,0,6.667,12.069
5350004.00,6306,18525.3,8.975,50.55,25,23.942,31.749,23.611,44.154,32.112,10.704,10.243
5350005.00,6957,18483,6.389,47.697,24.161,17.175,28.473,17.629,30.651,29.119,9.444,9.613
5350006.00,119,9224.8,,,,0,0,0,0,0,0,
5350007.01,3402,17018.5,7.29,53.09,18.382,19.462,24.632,24.167,36.678,29.412,9.783,10.802
5350007.02,4422,10174.9,8.005,54.719,26.702,21.147,27.979,20.93,39.81,33.886,10.877,11.833
5350008.01,8480,27425.6,8.901,41.697,5.5,9.857,9.131,9.982,13.609,37.673,4.545,5.331
5350008.02,11591,6052.4,11.438,50.715,12.821,11.179,15.161,12.261,18.443,37.022,8.367,6.569
5350009.00,520,5038.8,10.714,54.386,42.857,23.214,46.667,33.333,47.059,41.176,8.696,15.385
5350010.01,5611,22661.6,4.686,34.041,14.483,8.665,11.663,8.333,14.8,27.6,4.181,5.753
5350010.02,7468,13875.9,5.529,37.733,13.333,11.196,14.493,11.307,22.466,33.425,5.896,4.467
5350011.01,9592,20802.4,8.263,40.368,7.031,11.158,14.129,7.419,12.763,36.937,0,4.054
5350011.02,9746,33875.6,13.306,55.764,6.443,16.404,15.309,8.091,12.89,39.349,0,6.52
5350011.03,6391,27606.9,14.767,58.587,7.724,17.897,15.69,9.671,16.479,42.438,0,6.395
5350012.01,13554,31484.3,17.153,63.29,14.452,17.006,17.368,10.053,16.898,36.111,7.351,7.135
5350012.03,8957,19204.5,17.259,63.929,7.311,14.381,16.041,9.215,13.569,29.926,5.056,4.948
5350012.04,5688,23631.1,15.013,54.513,10.728,13.762,15.083,9.524,15.707,37.173,6.135,4.742
5350013.01,6820,19877.6,11.968,52.863,10.794,12.702,19.032,8.807,19.374,28.376,5.938,4.518
5350013.02,10439,24707.7,15.13,58.501,8.577,12.536,14.794,8.219,11.275,34.15,5.467,6.381
5350014.00,2382,5039.1,10.345,62.529,8.791,26.207,23.642,9.302,18.4,48,8.05,11.923
5350015.00,4922,17209.8,7.49,47.065,10.345,12.639,16.327,9.677,16.541,32.707,7.037,7.246
5350016.00,11144,17641.3,7.469,44.306,10.832,11.526,16.366,16.129,21.079,34.57,6.37,6.581
5350017.01,4787,5964.4,8.504,40.517,14.35,10.991,16.505,16.204,17.578,36.719,0,7.614
5350017.02,8710,15331.8,7.762,52.011,25.547,15.581,23.268,15.367,24.46,28.345,0,8.753
5350018.00,3633,10469.7,4.131,32.194,11.29,9.815,13.149,9.032,17.486,32.787,5.109,7.547
5350019.00,3269,13133.8,2.347,42.812,26.627,14.062,24.49,22.727,25.806,21.774,7.362,8.273
5350020.00,2298,3153.6,1.471,23.69,11.194,6.289,7.391,7.812,0,44.444,2.727,11.696
5350021.00,5192,5693.6,2.742,16.863,16.846,10.196,12.939,14.286,31.985,37.868,6.615,10.165
5350022.00,3847,6936.5,1.816,12.468,13.182,6.744,7.692,11.57,33.333,33.333,4.255,12.903
5350023.00,3374,4916.2,1.794,12.388,10.526,5.672,9.091,2.941,33.333,47.619,4.575,12.545
5350024.00,6891,9715.2,2.639,16.422,13.456,7.478,10.551,16.667,31.604,31.604,5.105,8.458
5350025.00,3553,6724.1,1.975,25.141,18.135,7.345,15.596,13.483,30.968,32.903,6.091,8.805
5350026.00,6409,8246.3,3.047,35.703,17.898,10.469,17.9,21.687,28.571,30.542,7.263,7.095
5350027.00,4405,9076.9,2.174,40.571,17.447,9.371,16.465,14.05,27.82,24.06,7.93,7.018
5350028.01,1290,6268.2,2.632,36.33,13.889,5.243,10.833,0,12.5,31.25,7.018,6.494
5350028.02,5868,12665.7,2.256,31.408,15.094,9.386,16.008,15.484,17.112,24.064,6.567,5.688
5350029.00,6722,9935,2.504,50.417,18.768,12.661,21.622,14.407,32.222,28.519,9.366,9.256
5350030.00,6926,18192.8,7.005,67.102,28.358,12.569,27.474,18.373,22.963,30.123,10.952,10.26
5350031.00,5871,22729.4,7.13,75.686,30.627,16.164,34.477,15.481,27.818,19.664,13.194,12.033
5350032.00,6042,14396,7.411,53.839,25.131,25.804,43.008,15.269,32.136,32.934,12.268,13.102
5350033.00,5515,17255.9,8.821,63.033,30.964,31.715,45.852,16.961,33.682,21.13,13.77,15.476
5350034.01,5337,42867.5,9.69,64.1,13.043,27.1,32.311,7.357,20.349,38.372,9.623,13.148
5350034.02,7992,20070.3,10.065,61.186,17.152,24.436,30.226,12.584,24.74,37.37,10.656,10.162
5350035.00,10506,15853.3,12.321,73.448,16.241,24.546,61.745,10.481,21.195,40.114,4.318,9.738
5350036.00,5685,14827.9,6.818,57.13,16.456,21.435,28.958,11.142,23.077,36.058,9.343,9.589
5350037.00,4802,10647.5,7.063,67.34,19.375,30.079,40.363,14.412,27,39.667,15.459,14.617
5350038.00,3605,9844.3,3.62,53.614,19.531,28.464,39.938,18.325,27.717,26.63,17.91,16.495
5350039.00,4505,14180,5.184,72.57,33.171,19.351,36.427,18.219,27.881,24.164,14.672,11.549
5350040.00,4274,11592.1,4.935,47.004,18.224,15.981,24.211,16.111,18.75,29.688,11.354,10.734
5350041.00,3324,10482.5,3.364,33.333,17.089,14.22,19.661,15.556,21.739,34.783,8.772,5.9
5350042.00,4423,9028.4,3.388,23.715,16.964,13.201,16.23,13.45,23.316,36.788,7.843,9.582
5350043.00,3670,6625.7,3.745,26.87,14.286,10.818,15.309,10.204,27.778,36.806,7.981,13.143
5350044.01,5016,12628.4,3.967,25.711,13.672,9.451,14.455,13.235,23.2,35.2,0,7.364
5350044.02,4255,45654.5,6.635,39.027,13.45,14.472,15.089,9.665,20.872,41.121,0,8.522
5350045.00,3247,11003,3.215,28.25,19.512,11.236,18.685,19.82,29.609,34.078,10.204,11.746
5350046.00,3151,7454.5,2.937,33.539,20.571,13.138,20.192,15.385,21.622,28.829,9.639,9.699
5350047.02,3511,12233.4,6.34,50.791,24.342,15.683,33.987,25.197,35.135,22.394,9.945,10.949
5350047.03,1014,8771.6,1.852,24.537,10.714,11.574,11.628,0,16.279,32.558,4.11,6.034
5350047.04,2773,10127.8,2.351,19.384,14.583,9.058,11.407,9.524,31.646,35.443,6.25,8.264
5350048.00,3353,10011.9,2.147,20.706,15.029,9.509,12.681,11.828,29.286,30,6.78,10.135
5350049.00,3351,7203.4,1.59,15.079,14.286,8.267,12.803,12.712,28.358,34.328,6.667,10.473
5350050.01,8648,6662,4.967,24.719,13.115,7.51,9.271,10.084,18.009,28.436,4.615,6.633
5350050.03,1085,634.1,10.185,34.259,11.29,7.87,8.247,9.524,0,23.81,4.07,7.377
5350050.04,4907,6485.6,2.753,30.157,20.974,7.571,16.34,16.234,26.728,28.111,6.452,12.771
5350051.00,4979,7203.4,3.269,15.322,12.016,9.091,12.743,8.333,28.44,32.11,6.967,14.45
5350052.00,4074,8139.9,1.859,20.57,13.084,9.542,12.567,10.714,18.239,25.157,6.55,8.642
5350053.00,5823,8514.4,4.142,31.52,14.984,12.176,17.537,20.745,29.339,33.471,9.202,10.906
5350054.00,5453,7763.4,5.074,32.38,16.279,15.775,18.012,20.37,34.67,34.67,9.816,11.753
5350055.00,2691,9735.9,2.612,19.367,13.223,13.433,13.303,13.636,22.368,43.421,7.914,13.284
5350056.00,4436,8706.6,2.074,25.892,15.837,10.357,15.404,17.204,19.792,32.292,8.367,10.096
5350057.00,2287,8584.8,4.711,23.983,16.822,15.632,17.708,14.394,20,33.077,11.504,11.154
5350058.00,3757,9781.3,4.388,26.162,12.426,15.803,19.745,9.392,22.596,32.692,8.876,15.254
5350059.00,3843,10482.8,3.344,33.758,15.172,15.605,29.618,13.402,21.528,36.806,10.714,17.476
5350060.00,2550,9388.8,4.591,35.13,15.179,20.16,20.513,12.676,24.409,37.795,10.526,10.638
5350061.00,1202,1566.5,12.025,65.19,16.129,21.519,53.333,25,29.67,25.275,10.112,9.722
5350062.01,4843,45346.4,8.589,52.393,14.765,23.19,33.403,9.025,23.209,43.553,10.407,11.52
5350062.03,4224,9107.4,10.217,57.344,11.696,32.184,30.874,9.615,15.546,48.319,0,19.167
5350062.04,8524,70156.4,11.169,73.733,14.658,32.258,34.143,7.055,17.021,43.327,0,12.848
5350063.03,4869,52130.6,12.475,51.71,10.396,19.899,21.002,13.027,27.157,33.503,8.235,6.932
